dates,ffr_surprise,nfp_surprise,EarningsToPrice
19970716,0,0,0.0462746351093816
19970717,0,0,0.0462746351093816
19970718,0,0,0.0462746351093816
19970721,0,0,0.0462746351093816
19970722,0,0,0.0462746351093816
19970723,-2.384615385,0,0.0462746351093816
19970724,0,0,0.0462746351093816
19970725,0,0,0.0462746351093816
19970728,0,0,0.0462746351093816
19970729,0,0,0.0462746351093816
19970730,0,0,0.0462746351093816
19970731,0,0,0.0462746351093816
19970801,1.192307692,118,0.0438565206583882
19970804,2.146153846,0,0.0438565206583882
19970805,-1.033333333,0,0.0438565206583882
19970806,0.397435897,0,0.0438565206583882
19970807,-1.033333333,0,0.0438565206583882
19970808,1.271794872,0,0.0438565206583882
19970811,-0.476923077,0,0.0438565206583882
19970812,-0.158974359,0,0.0438565206583882
19970813,-0.476923077,0,0.0438565206583882
19970814,-2.225641026,0,0.0438565206583882
19970815,-0.715384615,0,0.0438565206583882
19970818,0.079487179,0,0.0438565206583882
19970819,-0.953846154,0,0.0438565206583882
19970820,0,0,0.0438565206583882
19970821,0,0,0.0438565206583882
19970822,0,0,0.0438565206583882
19970825,0,0,0.0438565206583882
19970826,1,0,0.0438565206583882
19970827,0,0,0.0438565206583882
19970828,-1,0,0.0438565206583882
19970829,0,0,0.0438565206583882
19970902,0,0,0.0437966438031146
19970903,1,0,0.0437966438031146
19970904,1,0,0.0437966438031146
19970905,0,-31,0.0437966438031146
19970908,-1,0,0.0437966438031146
19970909,0,0,0.0437966438031146
19970910,0,0,0.0437966438031146
19970911,0,0,0.0437966438031146
19970912,-3,0,0.0437966438031146
19970915,0,0,0.0437966438031146
19970916,-1,0,0.0437966438031146
19970917,0,0,0.0437966438031146
19970918,0,0,0.0437966438031146
19970919,0,0,0.0437966438031146
19970922,0,0,0.0437966438031146
19970923,1,0,0.0437966438031146
19970924,-1,0,0.0437966438031146
19970925,1,0,0.0437966438031146
19970926,0,0,0.0437966438031146
19970929,0,0,0.0437966438031146
19970930,0,0,0.0437966438031146
19971001,0,0,0.0433715395615889
19971002,0,0,0.0433715395615889
19971003,-1.578947368,-103,0.0433715395615889
19971006,0,0,0.0433715395615889
19971007,0,0,0.0433715395615889
19971008,1.578947368,0,0.0433715395615889
19971009,1.578947368,0,0.0433715395615889
19971010,3.157894737,0,0.0433715395615889
19971013,0,0,0.0433715395615889
19971014,-1.578947368,0,0.0433715395615889
19971015,0,0,0.0433715395615889
19971016,0,0,0.0433715395615889
19971017,1.578947368,0,0.0433715395615889
19971020,0,0,0.0433715395615889
19971021,1.578947368,0,0.0433715395615889
19971022,-1.578947368,0,0.0433715395615889
19971023,-4.736842105,0,0.0433715395615889
19971024,0,0,0.0433715395615889
19971027,-3.157894737,0,0.0433715395615889
19971028,0,0,0.0433715395615889
19971029,0,0,0.0433715395615889
19971030,-1.578947368,0,0.0433715395615889
19971031,0,0,0.0433715395615889
19971103,-0.368421053,0,0.0424043273476597
19971104,0.578947368,0,0.0424043273476597
19971105,-1.315789474,0,0.0424043273476597
19971106,0.263157895,0,0.0424043273476597
19971107,1.842105263,74,0.0424043273476597
19971110,2.368421053,0,0.0424043273476597
19971111,0,0,0.0424043273476597
19971112,-4.105263158,0,0.0424043273476597
19971113,0,0,0.0424043273476597
19971114,1,0,0.0424043273476597
19971117,0,0,0.0424043273476597
19971118,0,0,0.0424043273476597
19971119,-1,0,0.0424043273476597
19971120,1,0,0.0424043273476597
19971121,-1,0,0.0424043273476597
19971124,1,0,0.0424043273476597
19971125,0,0,0.0424043273476597
19971126,2,0,0.0424043273476597
19971128,1,0,0.0424043273476597
19971201,0,0,0.0426305755548929
19971202,0,0,0.0426305755548929
19971203,-1,0,0.0426305755548929
19971204,-1,0,0.0426305755548929
19971205,0,204,0.0426305755548929
19971208,0,0,0.0426305755548929
19971209,-1,0,0.0426305755548929
19971210,-2,0,0.0426305755548929
19971211,-2,0,0.0426305755548929
19971212,0,0,0.0426305755548929
19971215,0,0,0.0426305755548929
19971216,-1,0,0.0426305755548929
19971217,0,0,0.0426305755548929
19971218,-2.24,0,0.0426305755548929
19971219,-2.24,0,0.0426305755548929
19971222,0,0,0.0426305755548929
19971223,0,0,0.0426305755548929
19971224,0,0,0.0426305755548929
19971226,0,0,0.0426305755548929
19971229,1.12,0,0.0426305755548929
19971230,1.12,0,0.0426305755548929
19971231,-2.24,0,0.0426305755548929
19980102,-1.12,0,0.0412731070170517
19980105,-2.24,0,0.0412731070170517
19980106,-1.12,0,0.0412731070170517
19980107,-1.12,0,0.0412731070170517
19980108,-3.36,0,0.0412731070170517
19980109,-7.84,170,0.0412731070170517
19980112,4.48,0,0.0412731070170517
19980113,3.36,0,0.0412731070170517
19980114,0,0,0.0412731070170517
19980115,-1.12,0,0.0412731070170517
19980116,1.12,0,0.0412731070170517
19980120,0,0,0.0412731070170517
19980121,-2.24,0,0.0412731070170517
19980122,-1.12,0,0.0412731070170517
19980123,2.24,0,0.0412731070170517
19980126,0,0,0.0412731070170517
19980127,1.12,0,0.0412731070170517
19980128,0,0,0.0412731070170517
19980129,0,0,0.0412731070170517
19980130,1.12,0,0.0412731070170517
19980202,-0.224,0,0.0411684105630294
19980203,-1.008,0,0.0411684105630294
19980204,0.336,0,0.0411684105630294
19980205,0,0,0.0411684105630294
19980206,2,133,0.0411684105630294
19980209,1,0,0.0411684105630294
19980210,0,0,0.0411684105630294
19980211,-1,0,0.0411684105630294
19980212,1,0,0.0411684105630294
19980213,-1,0,0.0411684105630294
19980217,0,0,0.0411684105630294
19980218,0,0,0.0411684105630294
19980219,1,0,0.0411684105630294
19980220,0,0,0.0411684105630294
19980223,1,0,0.0411684105630294
19980224,1,0,0.0411684105630294
19980225,0,0,0.0411684105630294
19980226,1,0,0.0411684105630294
19980227,0,0,0.0411684105630294
19980302,1,0,0.0386816965245082
19980303,0,0,0.0386816965245082
19980304,0,0,0.0386816965245082
19980305,-1,0,0.0386816965245082
19980306,1,60,0.0386816965245082
19980309,-1,0,0.0386816965245082
19980310,0,0,0.0386816965245082
19980311,0,0,0.0386816965245082
19980312,0,0,0.0386816965245082
19980313,0,0,0.0386816965245082
19980316,0,0,0.0386816965245082
19980317,1,0,0.0386816965245082
19980318,1,0,0.0386816965245082
19980319,0,0,0.0386816965245082
19980320,0,0,0.0386816965245082
19980323,0,0,0.0386816965245082
19980324,0,0,0.0386816965245082
19980325,0,0,0.0386816965245082
19980326,2,0,0.0386816965245082
19980327,-1,0,0.0386816965245082
